"COUNTRY","PRODUCTION_INDEX","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Japan","Industrial Production","Index","Monthly","1959-M12","12.14297521084424","Units"
"Japan","Industrial Production","Index","Monthly","1960-M01","11.23431720186948","Units"
"Japan","Industrial Production","Index","Monthly","1960-M02","12.63860685210326","Units"
"Japan","Industrial Production","Index","Monthly","1960-M03","13.62987013462108","Units"
"Japan","Industrial Production","Index","Monthly","1960-M04","12.72121212564642","Units"
"Japan","Industrial Production","Index","Monthly","1960-M05","12.8038173991895","Units"
"Japan","Industrial Production","Index","Monthly","1960-M06","12.8038173991895","Units"
"Japan","Industrial Production","Index","Monthly","1960-M07","12.96902794627583","Units"
"Japan","Industrial Production","Index","Monthly","1960-M08","12.8038173991895","Units"
"Japan","Industrial Production","Index","Monthly","1960-M09","13.38205431399168","Units"
"Japan","Industrial Production","Index","Monthly","1960-M10","13.62987013462108","Units"
"Japan","Industrial Production","Index","Monthly","1960-M11","13.96029122879376","Units"
"Japan","Industrial Production","Index","Monthly","1960-M12","14.53852814359584","Units"
"Japan","Industrial Production","Index","Monthly","1961-M01","13.62987013462108","Units"
"Japan","Industrial Production","Index","Monthly","1961-M02","14.70373869068218","Units"
"Japan","Industrial Production","Index","Monthly","1961-M03","16.27323888800219","Units"
"Japan","Industrial Production","Index","Monthly","1961-M04","14.95155451131169","Units"
"Japan","Industrial Production","Index","Monthly","1961-M05","15.28197560548426","Units"
"Japan","Industrial Production","Index","Monthly","1961-M06","15.61239669965694","Units"
"Japan","Industrial Production","Index","Monthly","1961-M07","15.77760724674328","Units"
"Japan","Industrial Production","Index","Monthly","1961-M08","15.61239669965694","Units"
"Japan","Industrial Production","Index","Monthly","1961-M09","15.94281779382952","Units"
"Japan","Industrial Production","Index","Monthly","1961-M10","16.35584416154536","Units"
"Japan","Industrial Production","Index","Monthly","1961-M11","16.35584416154536","Units"
"Japan","Industrial Production","Index","Monthly","1961-M12","17.18189689697695","Units"
"Japan","Industrial Production","Index","Monthly","1962-M01","16.02542306737269","Units"
"Japan","Industrial Production","Index","Monthly","1962-M02","17.01668634989061","Units"
"Japan","Industrial Production","Index","Monthly","1962-M03","18.66879182075379","Units"
"Japan","Industrial Production","Index","Monthly","1962-M04","17.01668634989061","Units"
"Japan","Industrial Production","Index","Monthly","1962-M05","17.18189689697695","Units"
"Japan","Industrial Production","Index","Monthly","1962-M06","17.01668634989061","Units"
"Japan","Industrial Production","Index","Monthly","1962-M07","16.60365998217477","Units"
"Japan","Industrial Production","Index","Monthly","1962-M08","16.35584416154536","Units"
"Japan","Industrial Production","Index","Monthly","1962-M09","16.76887052926111","Units"
"Japan","Industrial Production","Index","Monthly","1962-M10","16.76887052926111","Units"
"Japan","Industrial Production","Index","Monthly","1962-M11","16.68626525571794","Units"
"Japan","Industrial Production","Index","Monthly","1962-M12","17.18189689697695","Units"
"Japan","Industrial Production","Index","Monthly","1963-M01","16.02542306737269","Units"
"Japan","Industrial Production","Index","Monthly","1963-M02","17.5949232646927","Units"
"Japan","Industrial Production","Index","Monthly","1963-M03","18.99921291492637","Units"
"Japan","Industrial Production","Index","Monthly","1963-M04","18.17316017949478","Units"
"Japan","Industrial Production","Index","Monthly","1963-M05","18.33837072658112","Units"
"Japan","Industrial Production","Index","Monthly","1963-M06","18.42097600012429","Units"
"Japan","Industrial Production","Index","Monthly","1963-M07","18.99921291492637","Units"
"Japan","Industrial Production","Index","Monthly","1963-M08","18.66879182075379","Units"
"Japan","Industrial Production","Index","Monthly","1963-M09","19.49484455618538","Units"
"Japan","Industrial Production","Index","Monthly","1963-M10","20.15568674453063","Units"
"Japan","Industrial Production","Index","Monthly","1963-M11","20.2382920180738","Units"
"Japan","Industrial Production","Index","Monthly","1963-M12","21.06434475350539","Units"
"Japan","Industrial Production","Index","Monthly","1964-M01","19.49484455618538","Units"
"Japan","Industrial Production","Index","Monthly","1964-M02","21.3121605741348","Units"
"Japan","Industrial Production","Index","Monthly","1964-M03","22.6338449508254","Units"
"Japan","Industrial Production","Index","Monthly","1964-M04","21.22955530059163","Units"
"Japan","Industrial Production","Index","Monthly","1964-M05","21.3121605741348","Units"
"Japan","Industrial Production","Index","Monthly","1964-M06","22.05560803602322","Units"
"Japan","Industrial Production","Index","Monthly","1964-M07","21.89039748893698","Units"
"Japan","Industrial Production","Index","Monthly","1964-M08","21.14695002704846","Units"
"Japan","Industrial Production","Index","Monthly","1964-M09","22.6338449508254","Units"
"Japan","Industrial Production","Index","Monthly","1964-M10","22.6338449508254","Units"
"Japan","Industrial Production","Index","Monthly","1964-M11","22.13821330956639","Units"
"Japan","Industrial Production","Index","Monthly","1964-M12","23.54250295980006","Units"
"Japan","Industrial Production","Index","Monthly","1965-M01","21.3121605741348","Units"
"Japan","Industrial Production","Index","Monthly","1965-M02","22.55123967728223","Units"
"Japan","Industrial Production","Index","Monthly","1965-M03","24.45116096877482","Units"
"Japan","Industrial Production","Index","Monthly","1965-M04","22.30342385665273","Units"
"Japan","Industrial Production","Index","Monthly","1965-M05","21.80779221539381","Units"
"Japan","Industrial Production","Index","Monthly","1965-M06","22.6338449508254","Units"
"Japan","Industrial Production","Index","Monthly","1965-M07","22.55123967728223","Units"
"Japan","Industrial Production","Index","Monthly","1965-M08","21.72518694185065","Units"
"Japan","Industrial Production","Index","Monthly","1965-M09","22.79905549791164","Units"
"Japan","Industrial Production","Index","Monthly","1965-M10","22.88166077145481","Units"
"Japan","Industrial Production","Index","Monthly","1965-M11","23.04687131854115","Units"
"Japan","Industrial Production","Index","Monthly","1965-M12","23.79031878042957","Units"
"Japan","Industrial Production","Index","Monthly","1966-M01","22.13821330956639","Units"
"Japan","Industrial Production","Index","Monthly","1966-M02","23.54250295980006","Units"
"Japan","Industrial Production","Index","Monthly","1966-M03","26.18587171318117","Units"
"Japan","Industrial Production","Index","Monthly","1966-M04","24.53376624231799","Units"
"Japan","Industrial Production","Index","Monthly","1966-M05","24.53376624231799","Units"
"Japan","Industrial Production","Index","Monthly","1966-M06","25.60763479837909","Units"
"Japan","Industrial Production","Index","Monthly","1966-M07","25.77284534546533","Units"
"Japan","Industrial Production","Index","Monthly","1966-M08","25.19460843066324","Units"
"Japan","Industrial Production","Index","Monthly","1966-M09","26.68150335444009","Units"
"Japan","Industrial Production","Index","Monthly","1966-M10","27.09452972215593","Units"
"Japan","Industrial Production","Index","Monthly","1966-M11","27.50755608987168","Units"
"Japan","Industrial Production","Index","Monthly","1966-M12","29.07705628719169","Units"
"Japan","Industrial Production","Index","Monthly","1967-M01","26.84671390152642","Units"
"Japan","Industrial Production","Index","Monthly","1967-M02","28.16839827821693","Units"
"Japan","Industrial Production","Index","Monthly","1967-M03","31.22479339931378","Units"
"Japan","Industrial Production","Index","Monthly","1967-M04","29.07705628719169","Units"
"Japan","Industrial Production","Index","Monthly","1967-M05","29.32487210782119","Units"
"Japan","Industrial Production","Index","Monthly","1967-M06","30.56395121096853","Units"
"Japan","Industrial Production","Index","Monthly","1967-M07","30.56395121096853","Units"
"Japan","Industrial Production","Index","Monthly","1967-M08","29.98571429616645","Units"
"Japan","Industrial Production","Index","Monthly","1967-M09","32.21605668183171","Units"
"Japan","Industrial Production","Index","Monthly","1967-M10","32.38126722891805","Units"
"Japan","Industrial Production","Index","Monthly","1967-M11","32.95950414372013","Units"
"Japan","Industrial Production","Index","Monthly","1967-M12","34.28118852041073","Units"
"Japan","Industrial Production","Index","Monthly","1968-M01","30.81176703159804","Units"
"Japan","Industrial Production","Index","Monthly","1968-M02","33.12471469080647","Units"
"Japan","Industrial Production","Index","Monthly","1968-M03","35.60287289710124","Units"
"Japan","Industrial Production","Index","Monthly","1968-M04","34.11597797332439","Units"
"Japan","Industrial Production","Index","Monthly","1968-M05","34.28118852041073","Units"
"Japan","Industrial Production","Index","Monthly","1968-M06","35.27245180292856","Units"
"Japan","Industrial Production","Index","Monthly","1968-M07","35.76808344418748","Units"
"Japan","Industrial Production","Index","Monthly","1968-M08","34.61160961458331","Units"
"Japan","Industrial Production","Index","Monthly","1968-M09","36.5115309060759","Units"
"Japan","Industrial Production","Index","Monthly","1968-M10","37.42018891505066","Units"
"Japan","Industrial Production","Index","Monthly","1968-M11","37.99842582985284","Units"
"Japan","Industrial Production","Index","Monthly","1968-M12","38.74187329174126","Units"
"Japan","Industrial Production","Index","Monthly","1969-M01","35.27245180292856","Units"
"Japan","Industrial Production","Index","Monthly","1969-M02","37.99842582985284","Units"
"Japan","Industrial Production","Index","Monthly","1969-M03","40.55918930969068","Units"
"Japan","Industrial Production","Index","Monthly","1969-M04","39.81574184780226","Units"
"Japan","Industrial Production","Index","Monthly","1969-M05","39.56792602717285","Units"
"Japan","Industrial Production","Index","Monthly","1969-M06","40.97221567740652","Units"
"Japan","Industrial Production","Index","Monthly","1969-M07","41.79826841283811","Units"
"Japan","Industrial Production","Index","Monthly","1969-M08","39.65053130071592","Units"
"Japan","Industrial Production","Index","Monthly","1969-M09","42.87213696889911","Units"
"Japan","Industrial Production","Index","Monthly","1969-M10","44.11121607204654","Units"
"Japan","Industrial Production","Index","Monthly","1969-M11","43.6981897043307","Units"
"Japan","Industrial Production","Index","Monthly","1969-M12","45.68071626936655","Units"
"Japan","Industrial Production","Index","Monthly","1970-M01","41.46784731866544","Units"
"Japan","Industrial Production","Index","Monthly","1970-M02","44.44163716621912","Units"
"Japan","Industrial Production","Index","Monthly","1970-M03","47.91105865503182","Units"
"Japan","Industrial Production","Index","Monthly","1970-M04","46.01113736353913","Units"
"Japan","Industrial Production","Index","Monthly","1970-M05","45.18508462810754","Units"
"Japan","Industrial Production","Index","Monthly","1970-M06","48.07626920211815","Units"
"Japan","Industrial Production","Index","Monthly","1970-M07","48.32408502274756","Units"
"Japan","Industrial Production","Index","Monthly","1970-M08","45.26768990165071","Units"
"Japan","Industrial Production","Index","Monthly","1970-M09","48.15887447566132","Units"
"Japan","Industrial Production","Index","Monthly","1970-M10","48.07626920211815","Units"
"Japan","Industrial Production","Index","Monthly","1970-M11","47.25021646668647","Units"
"Japan","Industrial Production","Index","Monthly","1970-M12","49.48055885235183","Units"
"Japan","Industrial Production","Index","Monthly","1971-M01","44.35903189267595","Units"
"Japan","Industrial Production","Index","Monthly","1971-M02","46.75458482542755","Units"
"Japan","Industrial Production","Index","Monthly","1971-M03","50.55442740841283","Units"
"Japan","Industrial Production","Index","Monthly","1971-M04","47.74584810794548","Units"
"Japan","Industrial Production","Index","Monthly","1971-M05","45.10247935456437","Units"
"Japan","Industrial Production","Index","Monthly","1971-M06","48.40669029629073","Units"
"Japan","Industrial Production","Index","Monthly","1971-M07","48.81971666400648","Units"
"Japan","Industrial Production","Index","Monthly","1971-M08","46.17634791062547","Units"
"Japan","Industrial Production","Index","Monthly","1971-M09","49.48055885235183","Units"
"Japan","Industrial Production","Index","Monthly","1971-M10","48.57190084337707","Units"
"Japan","Industrial Production","Index","Monthly","1971-M11","48.65450611692024","Units"
"Japan","Industrial Production","Index","Monthly","1971-M12","49.64576939943816","Units"
"Japan","Industrial Production","Index","Monthly","1972-M01","45.0198740810212","Units"
"Japan","Industrial Production","Index","Monthly","1972-M02","48.15887447566132","Units"
"Japan","Industrial Production","Index","Monthly","1972-M03","52.61955924699185","Units"
"Japan","Industrial Production","Index","Monthly","1972-M04","49.64576939943816","Units"
"Japan","Industrial Production","Index","Monthly","1972-M05","48.98492721109281","Units"
"Japan","Industrial Production","Index","Monthly","1972-M06","51.54569069093075","Units"
"Japan","Industrial Production","Index","Monthly","1972-M07","51.54569069093075","Units"
"Japan","Industrial Production","Index","Monthly","1972-M08","49.89358522006757","Units"
"Japan","Industrial Production","Index","Monthly","1972-M09","53.44561198242334","Units"
"Japan","Industrial Production","Index","Monthly","1972-M10","53.69342780305285","Units"
"Japan","Industrial Production","Index","Monthly","1972-M11","54.18905944431176","Units"
"Japan","Industrial Production","Index","Monthly","1972-M12","57.08024401832238","Units"
"Japan","Industrial Production","Index","Monthly","1973-M01","51.62829596447392","Units"
"Japan","Industrial Production","Index","Monthly","1973-M02","54.93250690620028","Units"
"Japan","Industrial Production","Index","Monthly","1973-M03","60.71487605422131","Units"
"Japan","Industrial Production","Index","Monthly","1973-M04","57.65848093312446","Units"
"Japan","Industrial Production","Index","Monthly","1973-M05","57.65848093312446","Units"
"Japan","Industrial Production","Index","Monthly","1973-M06","60.13663913941923","Units"
"Japan","Industrial Production","Index","Monthly","1973-M07","59.88882331878972","Units"
"Japan","Industrial Production","Index","Monthly","1973-M08","57.57587565958129","Units"
"Japan","Industrial Production","Index","Monthly","1973-M09","61.37571824256656","Units"
"Japan","Industrial Production","Index","Monthly","1973-M10","62.11916570445498","Units"
"Japan","Industrial Production","Index","Monthly","1973-M11","61.87134988382558","Units"
"Japan","Industrial Production","Index","Monthly","1973-M12","62.53219207217073","Units"
"Japan","Industrial Production","Index","Monthly","1974-M01","55.34553327391603","Units"
"Japan","Industrial Production","Index","Monthly","1974-M02","58.48453366855605","Units"
"Japan","Industrial Production","Index","Monthly","1974-M03","62.20177097799815","Units"
"Japan","Industrial Production","Index","Monthly","1974-M04","58.15411257438337","Units"
"Japan","Industrial Production","Index","Monthly","1974-M05","57.41066511249495","Units"
"Japan","Industrial Production","Index","Monthly","1974-M06","57.90629675375396","Units"
"Japan","Industrial Production","Index","Monthly","1974-M07","57.90629675375396","Units"
"Japan","Industrial Production","Index","Monthly","1974-M08","53.11519088825076","Units"
"Japan","Industrial Production","Index","Monthly","1974-M09","56.91503347123604","Units"
"Japan","Industrial Production","Index","Monthly","1974-M10","55.34553327391603","Units"
"Japan","Industrial Production","Index","Monthly","1974-M11","53.69342780305285","Units"
"Japan","Industrial Production","Index","Monthly","1974-M12","53.2804014353371","Units"
"Japan","Industrial Production","Index","Monthly","1975-M01","45.0198740810212","Units"
"Japan","Industrial Production","Index","Monthly","1975-M02","47.25021646668647","Units"
"Japan","Industrial Production","Index","Monthly","1975-M03","50.8848485025855","Units"
"Japan","Industrial Production","Index","Monthly","1975-M04","49.89358522006757","Units"
