"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1959-M12","1446.75353","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M01","1454.0678","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M02","1446.96329","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M03","1487.20784","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M04","1511.24296","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M05","1545.10365","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M06","1577.13874","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M07","1630.45331","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M08","1695.08896","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M09","1784.61811","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M10","1849.29974","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M11","1889.44158","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1960-M12","1953.3716","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M01","2012.71232","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M02","2062.77004","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M03","2122.87576","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M04","2160.87528","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M05","2091.76902","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M06","2037.98052","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M07","1963.4398","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M08","1877.98934","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M09","1792.02453","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M10","1688.1552","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M11","1669.86632","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1961-M12","1667.12455","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M01","1691.24168","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M02","1694.656","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M03","1742.07696","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M04","1739.06498","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M05","1766.1822","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M06","1803.46376","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M07","1816.41173","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M08","1828.61172","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M09","1901.59952","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M10","1985.55217","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M11","1973.37492","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1962-M12","2021.3375","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M01","2064.39764","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M02","2036.43271","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M03","2043.79794","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M04","2058.5854","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M05","2074.57299","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M06","2082.69064","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M07","2063.8909","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M08","2090.04371","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M09","2086.74834","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M10","2103.11393","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M11","2091.9362","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1963-M12","2059.01636","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M01","2036.07652","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M02","1982.1116","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M03","1997.18176","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M04","1975.21684","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M05","1930.67288","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M06","1937.74304","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M07","1915.80812","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M08","1927.8932","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M09","1940.21212","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M10","1907.36528","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M11","1925.2345","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1964-M12","2020.624","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M01","2048.74613","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M02","2072.27968","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M03","2075.6859","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M04","2040.87277","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M05","2059.6007","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M06","2026.6709","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M07","1997.3512","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M08","2010.6888","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M09","2016.72739","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M10","2045.32928","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M11","2132.44625","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1965-M12","2153.61024","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M01","2129.14943","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M02","2156.36045","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M03","2156.49305","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M04","2144.35557","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M05","2142.6603","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M06","2151.01249","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M07","2100.14164","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M08","2110.05195","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M09","2091.12233","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M10","2065.81635","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M11","2091.25072","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1966-M12","2121.51942","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M01","2099.54461","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M02","2097.44905","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M03","2124.1574","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M04","2139.28689","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M05","2137.46402","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M06","2101.62879","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M07","2063.41006","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M08","2009.74728","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M09","2048.99944","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M10","2021.31084","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M11","1990.1484","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1967-M12","2032.4364","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M01","1999.3164","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M02","2026.0044","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M03","2036.0168","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M04","1959.6506","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M05","2012.40955","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M06","2062.0121","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M07","2137.11565","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M08","2293.056","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M09","2428.122","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M10","2615.67","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M11","2842.3942","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1968-M12","2976.2468","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M01","3026.75688","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M02","3169.2198","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M03","3298.6274","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M04","3196.6492","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M05","3184.35084","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M06","3193.4048","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M07","3140.38681","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M08","3226.76766","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M09","3360.37956","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M10","3357.60575","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M11","3555.7588","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1969-M12","3656.226","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M01","3775.03495","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M02","3820.56306","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M03","4062.9959","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M04","4125.27","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M05","4097.90315","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M06","4091.44343","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M07","3952.4595","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M08","3978.6694","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M09","4018.5988","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M10","4252.78075","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M11","4465.7811","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1970-M12","4876.11455","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M01","5018.56075","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M02","5366.2856","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M03","5958.73444","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M04","6177.6181","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M05","7224.79048","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M06","7894.2322","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M07","8270.8736","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M08","12624.70235","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M09","13532.5794","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M10","14242.86046","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M11","15003.3384","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1971-M12","15469.15222491439","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M01","16134.81040023311","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M02","16685.58035023311","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M03","16882.61014885806","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M04","16779.65596706815","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M05","16486.0548109315","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M06","16406.28662107594","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M07","16522.46566302772","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M08","16980.36783322974","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M09","17041.19222080983","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M10","18352.38435422461","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M11","18951.34446030151","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1972-M12","18932.68001721472","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M01","18447.01132898838","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M02","20037.11378543101","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M03","19133.36277661597","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M04","17858.86928988495","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M05","17400.33734366632","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M06","16909.96868584282","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M07","16706.42583525465","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M08","16419.73584568316","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M09","16014.65916058249","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M10","15226.21841843131","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M11","14437.01608993559","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1973-M12","13723.92617106164","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M01","13471.82097912058","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M02","14438.42607954083","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M03","15186.0486192718","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M04","15395.14568513736","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M05","15584.13611681783","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M06","15582.27318027161","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M07","15602.40761447949","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M08","15321.43063573883","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M09","15484.79013878138","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M10","16093.3025540476","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M11","16730.46165090645","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1974-M12","16551.24954628386","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M01","16304.95331286691","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M02","16873.74238478842","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M03","16972.89204831623","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M04","16955.91499264669","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M05","17160.82800705327","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M06","17200.18743540177","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M07","17274.67100763825","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M08","16586.49798718577","Millions"
"Japan","Total reserves (gold at market value)","US dollar","Monthly","1975-M09","15411.88046617877","Millions"
